,Method,Feat set,Model params,CV Mean RMSE (10-fold),CV Std RMSE (10-fold),CV Mean R2 (10-fold),CV Std R2 (10-fold),CV Mean Pearson (10-fold),CV Std Pearson (10-fold),Test 1 RMSE,Test 1 R2,Test 1 Pearson,Test 2 RMSE,Test 2 R2,Test 2 Pearson,Test 3 RMSE,Test 3 R2,Test 3 Pearson
0,TPOT,all_feat,"Pipeline(steps=[('lassolarscv', LassoLarsCV(normalize=True))])",1.513,0.051,0.378,0.021,0.62,0.019,1.278,0.178,0.478,1.65,0.252,0.502,2.402,0.016,0.253
1,TPOT,seq_feat,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=ExtraTreesRegressor(max_features=0.9500000000000001,
                                                                 min_samples_leaf=16,
                                                                 min_samples_split=12,
                                                                 random_state=42))),
                ('minmaxscaler', MinMaxScaler()),
                ('gradientboostingregressor',
                 GradientBoostingRegressor(learning_rate=0.01, loss='huber',
                                           max_depth=10, max_features=0.5,
                                           min_samples_leaf=3,
                                           min_samples_split=6, random_state=42,
                                           subsample=0.45))])",1.654,0.042,0.256,0.021,0.522,0.028,1.238,0.229,0.479,1.659,0.243,0.515,2.409,0.01,0.171
